,InChIKey,SMILES,LogS
3863,VDWRVVZCWMZANS-UHFFFAOYSA-N,O=C(N(c1ccccc1C(=O)N(c1ccccc1)C)C)CN1CCOCC1,-3.40683459
3864,KRQAMFQCSAJCRH-UHFFFAOYSA-N,COc1cc(cc(c1OC)OC)C(=O)OCCCN(CCN(CCCOC(=O)c1cc(OC)c(c(c1)OC)OC)C)C,-3.404351808
3865,SNNIGNLXYVEYOC-UHFFFAOYSA-N,[O-][N+](=O)c1ccc(s1)c1scc(n1)C(=O)O,-3.4043425
3866,ZTYRCJNTGWMELW-UHFFFAOYSA-N,CCC1(C(=O)NC(=O)N(C1=O)CN1CCCCC1)c1ccccc1,-3.403780229
3867,LYFYXKGHAQOPTP-DHDCSXOGSA-N,CC(N1CCN(CC1)CC(=O)N/N=C\c1ccc(o1)[N+](=O)[O-])C,-3.402466925
3868,IUJDSEJGGMCXSG-UHFFFAOYSA-N,CCCC(C1(CC)C(=O)NC(=S)NC1=O)C,-3.402103275
3869,FWOOQMMHLXHORO-UHFFFAOYSA-N,CCC(C(c1ccccc1)O)(C(=O)OCC)CC,-3.401140394
3870,HJSPWKGEPDZNLK-UHFFFAOYSA-N,Oc1ccc(cc1)Cc1ccccc1,-3.400868153
3871,XIURVHNZVLADCM-IUODEOHRSA-N,CC(=O)OCC1=C(C(=O)O)N2[C@H](SC1)[C@@H](C2=O)NC(=O)Cc1cccs1,-3.400061716
3872,AMOPBNMABDFREG-UHFFFAOYSA-N,Nc1ccc2c(c1)nc1c(c2N)cccc1,-3.400024616
3873,AXNLREBQOMGJMQ-UHFFFAOYSA-N,Nc1ccc2c(c1)nc1c(c2)cc(cc1)N,-3.400024616
3874,XTSOELQVDLSJFM-SQQLFYIASA-N,CN[C@@H]1CC[C@H](c2c1cccc2)c1ccccc1.Cl,-3.400013275
3875,XTSOELQVDLSJFM-RVXRQPKJSA-N,CN[C@H]1CC[C@H](c2c1cccc2)c1ccccc1.Cl,-3.400013275
3876,AUHZEENZYGFFBQ-UHFFFAOYSA-N,Cc1cc(C)cc(c1)C,-3.4000001
3877,ODQWQRRAPPTVAG-BOPFTXTBSA-N,CN(CC/C=C/1\c2ccccc2OCc2c1cccc2)C,-3.4000001
3878,FRPZMMHWLSIFAZ-UHFFFAOYSA-N,C=CCCCCCCCCC(=O)O,-3.4000001
3879,DFCAFRGABIXSDS-UHFFFAOYSA-N,CCN(C(=O)SCC)C1CCCCC1,-3.4000001
3880,DRAVOWXCEBXPTN-UHFFFAOYSA-N,Oc1nc(N)c2c(n1)nc[nH]2,-3.4000001
3881,IVBHGBMCVLDMKU-GXNBUGAJSA-N,CCN1CCN(C(=O)C1=O)C(=O)N[C@@H](C(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C)c1ccccc1,-3.398827878
3882,DEUSSOTUEGORRC-UHFFFAOYSA-N,O=c1[nH]c2c(o1)c(Cl)cc(c2Cl)Cl,-3.398756736
3883,WWZYSFVVLXIGSX-UHFFFAOYSA-N,COc1cc(ccc1OC)C1CCC2N(C1)CCCC2,-3.398558635
3884,FGCDXTDNXMUIEB-UHFFFAOYSA-N,CNC(=O)c1cc(Br)cc(c1O)C,-3.398497272
3885,ZKNXZJZQQIQXOD-UHFFFAOYSA-N,OC(C1CC1c1ccncc1)(c1ccccc1)c1ccccc1.Cl,-3.398386273
3886,XTKDAFGWCDAMPY-UHFFFAOYSA-N,Fc1ccc(cc1)C(=O)CCCN1CCN(CC1)c1ccccn1,-3.397811385
3887,RPVSMPDRWQVGJR-UHFFFAOYSA-N,N#CC(=NNc1ccc(cc1[N+](=O)[O-])C)C#N,-3.397559333
3888,OJYOTLHNSMYONM-UHFFFAOYSA-N,CCN1CCCC(C1)OC(=O)C(c1ccccc1)(c1ccccc1)O,-3.397217713
3889,ZKVDZTJLEAYWEW-UHFFFAOYSA-N,CCC(C(=O)Nc1c(C)cccc1C)N(CC)CC.Cl,-3.396279295
3890,FFINMCNLQNTKLU-UHFFFAOYSA-N,O=C(Nc1c(I)cc(c(c1I)C(=O)O)I)CCCCC(=O)Nc1c(I)cc(c(c1I)C(=O)O)I,-3.394058247
3891,WGUJDBLMJBJUQU-VKRLOHBMSA-N,O=CC[C@H]1C[C@@H](C)C(=O)/C=C/C(=C/[C@@H]([C@H](OC(=O)C[C@H]([C@@H]([C@H]1O[C@@H]1O[C@H](C)[C@H]([C@@H]([C@H]1O)N(C)C)O)C)O)CC)CO)/C,-3.39306036
3892,AZNVGKVGQKSOIC-UHFFFAOYSA-N,O=C(C(c1ccccc1)CN1CC=CC1)c1ccccc1.Cl,-3.39288383
3893,KKHORYRSUULMHO-UHFFFAOYSA-N,CCCC1(CC[NH+](CC)CC)C(=O)Oc2c1cc(C)cc2.[Cl-],-3.392479792
3894,VJXSSYDSOJBUAV-UHFFFAOYSA-N,COc1ccc(cc1Cc1cnc2c(c1C)c(N)nc(n2)N)OC,-3.391806259
3895,WTYDEBIGLNBNNF-UHFFFAOYSA-N,CSc1c(Cl)nc(nc1N1CCN(CC1)C)Nc1ccccc1,-3.391632027
3896,ICMGLRUYEQNHPF-UHFFFAOYSA-N,COc1ccccc1N1CCN(CC1)CCCNc1cc(=O)n(c(=O)n1C)C,-3.391249057
3897,HZKFHDXTSAYOSN-UHFFFAOYSA-N,OC1=C(c2ccccc2)C(=O)C(=C(C1=O)c1ccccc1)O,-3.390267011
3898,GHKISGDRQRSCII-ZOCIIQOWSA-N,CN1Cc2c([C@@H]3[C@H]1c1cc4OCOc4cc1C[C@@H]3O)ccc1c2OCO1,-3.390173786
3899,XJCLWVXTCRQIDI-UHFFFAOYSA-N,CCN(C(=S)SCC(=C)Cl)CC,-3.3900001
3900,YYZUSRORWSJGET-UHFFFAOYSA-N,CCCCCCCC(=O)OCC,-3.3900001
3901,JGHZJRVDZXSNKQ-UHFFFAOYSA-N,CCCCCCCC(=O)OC,-3.3900001
3902,JLRGJRBPOGGCBT-UHFFFAOYSA-N,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,-3.3900001
3903,FYFDQJRXFWGIBS-UHFFFAOYSA-N,[O-][N+](=O)c1ccc(cc1)[N+](=O)[O-],-3.3900001
3904,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(Cc2cnc(nc2N)N)cc(c1Br)OC,-3.389938825
3905,QLKCCGLEUFIVEC-UHFFFAOYSA-N,CN(CCCC1(NCCc2c1cccc2)c1ccccc1)C,-3.389818498
3906,NIHRMUCHYZKKDX-UHFFFAOYSA-N,OC(CN1CCN(CC1)c1ccccc1Cl)COc1ccccc1C(=O)C,-3.388431885
3907,IMWZZHHPURKASS-UHFFFAOYSA-N,O=C1NCC(O1)COc1cc(C)cc(c1)C,-3.387192015
3908,YEKMWXFHPZBZLR-UHFFFAOYSA-N,ClCCC1NC(=O)c2c(O1)cccc2,-3.387138325
3909,DWYHDSLIWMUSOO-UHFFFAOYSA-N,c1ccc(cc1)c1nc2c([nH]1)cccc2,-3.385024882
3910,ODZHRFXEXCFPRQ-UHFFFAOYSA-N,O=C(Nc1ccccc1)OCCCN1CCCCC1C,-3.384601761
3911,BJVUKUWSDFUNPA-UHFFFAOYSA-N,CNCCC12CC3CC(C1)CC(C2Cl)C3.Cl,-3.384562218
3912,RBOUBJPHXSVUTH-UHFFFAOYSA-N,O=c1ccc2c(c1)[nH]c1c2cc[nH]c1C.Cl,-3.383709897
3913,AVZIYZHXZAYGJS-UHFFFAOYSA-N,OC(c1ccccc1)(c1ccccc1)CCCN1CCCCC1.Cl,-3.383628348
3914,CAZAGSKJTOEERZ-PDGQHHTCSA-N,O=C(CN1CCN(CC1)c1ccccc1)N/N=C\c1ccc(o1)[N+](=O)[O-],-3.382856377
3915,DGMKFQYCZXERLX-UHFFFAOYSA-N,CCCN(C(=O)C(NC(=O)c1ccccc1)CCC(=O)O)CCC,-3.3806478
3916,CWJSHJJYOPWUGX-UHFFFAOYSA-N,CC(OC(=O)Nc1cccc(c1)Cl)C,-3.3800001
3917,OWZPCEFYPSAJFR-ZCFIWIBFSA-N,CC[C@H](c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-])C,-3.3800001
3918,NXFQHRVNIOXGAQ-YCRREMRBSA-N,O=C1NC(=O)N(C1)/N=C/c1ccc(o1)[N+](=O)[O-],-3.3800001
3919,IJXHLVMUNBOGRR-UHFFFAOYSA-N,CCCCCCCCC(=O)OC,-3.3800001
3920,AUEJBFDAJLTUHB-UHFFFAOYSA-N,CCCCCCCCCCCNCCSS(=O)(=O)O,-3.379513291
3921,XHZUSMBAWAVCRE-UHFFFAOYSA-N,[O-]S(=O)(=O)NC1CCCCC1.CCCC[NH+]1CCCC1c1c[nH]c2c1cccc2,-3.379387945
3922,PHKGDSCTROXFQC-UHFFFAOYSA-N,CCCN1CCN(CC1C(=O)Nc1ccccc1C)CCC.ON=O.ON=O,-3.379202834
3923,SQFIORDXMAQZNW-UHFFFAOYSA-N,CC(=O)N(c1nc(c(o1)c1ccccc1)c1ccccc1)C(=O)C,-3.378517205
3924,QVYRGXJJSLMXQH-UHFFFAOYSA-N,CN(CCOC(c1ccccc1C)c1ccccc1)C,-3.376915641
3925,NCPKFGJFXZBRFD-UHFFFAOYSA-N,CC1CC(C(=O)N1c1ccccc1)N1CCCCC1.Cl,-3.376139676
3926,OFBIFZUFASYYRE-UHFFFAOYSA-N,CCOC(=O)c1ncn2c1CN(C)C(=O)c1c2ccc(c1)F,-3.376011713
3927,JRBPAEWTRLWTQC-UHFFFAOYSA-N,CCCCCCCCCCCCN,-3.375909703
3928,MHIJSBZYRPBLSD-UHFFFAOYSA-N,C=CCN1CCCCC1Cc1ccccc1.Cl,-3.375746411
3929,BQNBYMWITANTPB-UHFFFAOYSA-N,NC(=O)c1ccc(cc1)c1sc2c(n1)cc(cc2)C(=O)C,-3.374886111
3930,QPUCQMFFYMYWCS-UHFFFAOYSA-N,CCN(CCn1c(nc2c1c(=O)n(c(=O)n2C)C)C(c1ccccc1)O)CC.Cl,-3.374816276
3931,DPFSZEXJIOUDSW-UHFFFAOYSA-N,O=C(COc1ccccc1)OCCCN1CCCCC1C,-3.374571008
3932,VBQYVPWJXQKIMF-UHFFFAOYSA-N,CCC(=O)c1ccc(cc1)OCC(CN1CCC(CC1)(O)c1ccccc1)O,-3.374236775
3933,DNYZBFWKVMKMRM-UHFFFAOYSA-N,ON=C(c1ccccc1)c1ccccc1,-3.372678225
3934,CVMSKRHCTWCITE-UHFFFAOYSA-N,CC(=O)OC(COc1ccccc1C)COC(=O)C,-3.372281307
3935,UXQSJMBMFDCPMM-UHFFFAOYSA-N,CC[NH+](CCOC(=O)c1cccc2c1cccc2)CC.[Cl-],-3.371022702
3936,DELIDJVURHPKPP-UHFFFAOYSA-N,N/C(=N/C1CCCCCC1)/CSSC/C(=N/C1CCCCCC1)/N.Cl.Cl,-3.370465113
3937,ODLMAHJVESYWTB-UHFFFAOYSA-N,CCCc1ccccc1,-3.3699999
3938,JWUCHKBSVLQQCO-MRXNPFEDSA-N,Fc1ccc(cc1)[C@@](c1ccccc1F)(Cn1cncn1)O,-3.3699999
3939,MHWLWQUZZRMNGJ-UHFFFAOYSA-N,CCn1cc(C(=O)O)c(=O)c2c1nc(C)cc2,-3.3699999
3940,BHQCQFFYRZLCQQ-GLVFPOCZSA-N,O[C@H]1CC[C@]2([C@H](C1)C[C@@H]([C@@H]1[C@@H]2C[C@@H](O)[C@]2([C@H]1CC[C@@H]2[C@H](CCC(=O)O)C)C)O)C,-3.3699999
3941,JXSJBGJIGXNWCI-QMMMGPOBSA-N,CCOC(=O)C[C@@H](C(=O)OCC)SP(=S)(OC)OC,-3.3699999
3942,KEWNKZNZRIAIAK-UHFFFAOYSA-N,Clc1cc(Cl)c(c(c1Cl)O)Cl,-3.3699999
3943,RKBPDPLCHXWHRQ-UHFFFAOYSA-N,C1CSC(S1)c1ccccc1,-3.367022524
3944,AMNIUADSZBSURC-UHFFFAOYSA-N,C1CCN2C(C1)CCC(=C2)c1ccccc1,-3.366670403
3945,UONWZNLVCSWMSI-UHFFFAOYSA-N,CCN1CCCC(C1)OC(=O)Nc1ccc(cc1)C,-3.365807591
3946,ISADCDVTGCDIGA-UHFFFAOYSA-N,CCN1CCCC(C1)OC(=O)Nc1cccc(c1)C,-3.365807591
3947,UMCNJMVTYNYAGF-UHFFFAOYSA-N,CCN1CCCC(C1)OC(=O)Nc1ccccc1C,-3.365807591
3948,MQHNKCZKNAJROC-UHFFFAOYSA-N,CCCOC(=O)c1ccccc1C(=O)OCCC,-3.365026701
3949,CLPTUIWEBUOUCQ-UHFFFAOYSA-N,CC(P(=O)(c1ccccc1)c1ccccc1)C,-3.362571379
3950,FFDZEZLZHNZTBO-UHFFFAOYSA-N,Clc1ccc(cc1)SCC/N=C(/CSS(=O)(=O)O)\N,-3.362307966
3951,KSRLIXGNPXAZHD-HAZZGOGXSA-M,O=C1CN(C(=N1)[O-])/N=C/c1ccc(o1)c1ccc(cc1)[N+](=O)[O-].[Na+],-3.362295243
3952,CYWGCYGKXOAPHY-UHFFFAOYSA-N,CNC(=O)c1cccc(c1OC)c1ccccc1,-3.361350006
3953,URIZBPYQIRFMBF-UHFFFAOYSA-N,OC(=O)CCC(=O)OC(c1oc2c(c1C)cc(cc2)C1=CC(=O)OC1)C,-3.360621544
3954,HCAUQPZEWLULFJ-UHFFFAOYSA-N,c1ccc2c(c1)ccc1c2cccn1,-3.3599999
3955,OPXLLQIJSORQAM-UHFFFAOYSA-N,COC(=O)Nc1[nH]c2c(n1)cc(cc2)C(=O)c1ccccc1,-3.3599999
3956,IUJDSEJGGMCXSG-ZETCQYMHSA-N,CCC[C@@H](C1(CC)C(=O)NC(=S)NC1=O)C,-3.3599999
3957,RSPPUQXSQYBMEE-UHFFFAOYSA-N,OCCN(c1ccc2c(n1)n(CC)c1ncccc1c(=O)[nH]2)C,-3.3599999
3958,UUVWYPNAQBNQJQ-UHFFFAOYSA-N,CN(c1nc(nc(n1)N(C)C)N(C)C)C,-3.3599999
3959,MRWQRJMESRRJJB-UHFFFAOYSA-N,CCCCCCn1c(=O)c2n(C)cnc2n(c1=O)C,-3.35881147
3960,WJLRKYSNJJCEPP-UHFFFAOYSA-N,N#CC(=NNc1ccccc1Cl)C#N,-3.358100856
3961,SHZWWHZISZGGHB-UHFFFAOYSA-N,CCCCCCc1[nH]c2c(n1)n(C)c(=O)n(c2=O)C,-3.35768684
3962,VSVAVMVWTLLTCH-BJMVGYQFSA-N,O=C1NCCN1/N=C/c1ccc(o1)[N+](=O)[O-],-3.357152866
3963,XJDALFQCSYEWSB-UHFFFAOYSA-N,COCCNc1nc2nc(nc(c2nc1C(=O)NCCOC)N)c1ccccc1,-3.356232433
3964,MTENFETUMWYLRL-UHFFFAOYSA-N,NC1=NCC(O1)CSc1ccc(cc1)Cl,-3.355723557
3965,GYIBSRBIOHMGPQ-CGTJXYLNSA-N,Oc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)C(=O)C,-3.355063626
3966,QBILRDAMJUPXCX-AGAUEGNUSA-N,O=C[C@@]12CC[C@@H](C[C@@]2(O)CC[C@@H]2[C@@H]1CC[C@]1([C@]2(O)CC[C@@H]1C1=CC(=O)OC1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O,-3.352402708
3967,XUWZZJXBIFVOSR-UHFFFAOYSA-N,CCCCOc1c(OC)cccc1C(=O)OCC[NH2+]C(C)C.[Cl-],-3.351384652
3968,SGEJQUSYQTVSIU-UHFFFAOYSA-N,CCCCN(C(=O)SCCC)CC,-3.3499999
3969,MTBZIGHNGSTDJV-UHFFFAOYSA-N,CCOP(=S)(N1C(=O)c2c(C1=O)cccc2)OCC,-3.3499999
3970,FMINYZXVCTYSNY-UHFFFAOYSA-N,CN(C(=O)NC(c1ccccc1)(C)C)c1ccccc1,-3.3499999
3971,BKPHTVREKNCZDU-UHFFFAOYSA-N,CN1CCN(CC1)CCC12CC3CC(C2)CC(C1)C3.Cl.Cl,-3.349416104
3972,DCJINIWOQCDNLR-XERUHLCMSA-N,CCC(c1ccnc2c1cc(O)cc2)(C1CC2CCN1C/C/2=C/C)O.Cl.Cl,-3.349411626
3973,GPYLCFQEKPUWLD-UHFFFAOYSA-N,O=c1[nH]c2c3c1cccc3ccc2,-3.349260842
3974,XYLUMUDIJHWKSB-UHFFFAOYSA-N,CC[NH+](CCN1C(=O)C(C)Oc2c1cc(cc2)[N+](=O)[O-])CC.[Cl-],-3.34879527
3975,IMZMKUWMOSJXDT-UHFFFAOYSA-N,OC(COc1cccc2c1c(=O)cc(o2)C(=O)O)COc1cccc2c1c(=O)cc(o2)C(=O)O,-3.348369775
3976,OTMLATMCCJDRRG-UHFFFAOYSA-N,CC1CCCCN1CCCOc1ccccc1,-3.346827812
3977,KHBXWZCAOWERPF-UHFFFAOYSA-N,Cc1ccc(nc1)OCCCCCCN1CSCC1.Cl.Cl,-3.346803067
3978,HRZWYHGGJOWGRI-UHFFFAOYSA-N,OCc1c(CSSCc2cnc(c(c2CO)O)C)cnc(c1O)C.Cl.Cl,-3.345961532
3979,XOXFLDFMLLOORP-UHFFFAOYSA-M,O=C(C(c1ccccc1)(c1ccccc1)O)OC1CC2CCC(C1)[N+]2(C)C.[I-],-3.344881088
3980,MAODNVTZUXOBNL-UHFFFAOYSA-N,CCN(C(C(=O)Nc1c(C)cccc1C)C)CC,-3.343560747
3981,IBHICZHJJGSIKX-UHFFFAOYSA-N,COC(=O)c1c(C)ccc(c1OCC(=O)OCCN(C)C)C(C)C,-3.343474229
3982,GSUNXHODQPCMLL-UHFFFAOYSA-N,ClCCN(C(=O)NC1CCC(CC1)COC(=O)C)N=O,-3.342989783
3983,KCVHFFSPDODYOG-UHFFFAOYSA-N,OC(=O)C(CC(=O)O)(CC(=O)O)O.CCOC(=O)C1(CCCN(CC1)C)c1ccccc1,-3.342698589
3984,KUINUAAHDPVJRS-WJDWOHSUSA-N,OC(=O)Cc1ccc2c(c1)s/c(=C\1/C=CC=C(C1=O)C)/[nH]2,-3.342631635
3985,OSVWSAJDSWJMAA-UHFFFAOYSA-N,CCCc1cc(C)ccc1OCC(CO)O,-3.342229102
3986,WFVXOSNUKDDNPO-UHFFFAOYSA-N,CCCc1cccc(c1OCC(CO)O)C,-3.342229102
3987,PHNSAMVICKDQJR-UHFFFAOYSA-N,CCCOc1ccc(cc1C)C=CC(=O)NO,-3.342206771
3988,FGPJTMCJNPRZGF-JXMROGBWSA-N,Oc1ccc(cc1)/C=C/C(=O)c1ccccc1O,-3.339285172
3989,MHZBPWPPBRJQTI-UHFFFAOYSA-N,CCC1CN(C)CCC1(OC(=O)CC)c1ccccc1.Cl,-3.338609725
3990,NPSSKLWIPCMJBU-UHFFFAOYSA-N,Cc1n(C)c(=O)n(c(=O)c1Br)Cc1ccccc1,-3.337899154
3991,COMXLJMCXIJWOR-UHFFFAOYSA-N,OCC(COc1ccccc1C(=O)NC1CCCCC1)O,-3.337071584
3992,RCVMLADERZSPNA-UHFFFAOYSA-N,COc1ccc(cc1)CCCCN1CCSC1C.Cl,-3.336809456
3993,JNLHPPFPJXHLKE-UHFFFAOYSA-N,COC(=O)c1c(C)ccc(c1OCC(CNC(C)C)O)C(C)C,-3.333693083
3994,OZOMQRBLCMDCEG-VIZOYTHASA-N,O=C1CN(C(=O)N1)/N=C/c1ccc(o1)c1ccc(cc1)[N+](=O)[O-],-3.333527422
3995,BNFDLGUZDIWYJK-UHFFFAOYSA-N,C[NH+](CCOC(c1ccc(cc1)C)c1ccccc1)C.[Cl-],-3.333214475
3996,JYZPVFDNYWNWHP-UHFFFAOYSA-N,C[NH+](CCOC(c1cccc(c1)C)c1ccccc1)C.[Cl-],-3.333214475
3997,RZYSYUCNZPOXMK-UHFFFAOYSA-N,COc1ccc(cc1)C(=C)C(=O)OC1CC2CCC(C1)N2C,-3.332995024
3998,HWCWLOMWKWGDCW-UHFFFAOYSA-N,C1CCN2C(C1)CCC(C2)c1ccccc1.Cl,-3.332866414
3999,PKIXYTOIAIGZDT-UHFFFAOYSA-M,CC(CC1(OC(=O)[N-]C1=O)c1ccccc1)C.[Na+],-3.331417071
4000,QMGVPVSNSZLJIA-FVWCLLPLSA-N,O=C1C[C@@H]2OCC=C3[C@H]4[C@@H]2[C@@H]2N1c1ccccc1[C@]12CCN([C@H]1C4)C3	,-3.33
4001,UPMXNNIRAGDFEH-UHFFFAOYSA-N,N#Cc1cc(Br)c(c(c1)Br)O,-3.3299999
4002,MDQKYGOECVSPIW-UHFFFAOYSA-N,N#Cc1c(O)c(Cl)c(c(c1Cl)C#N)Cl,-3.329045264
4003,ODAJVSVRPUSJQQ-UHFFFAOYSA-M,C=CCC1(C(CC)C)C(=O)NC(=S)N=C1[O-].[Na+],-3.328898163
4004,MLYYVTUWGNIJIB-BXKDBHETSA-N,O=C(N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnc(s1)C)Cn1cnnn1,-3.327524266
4005,PJXYUBAEEYRXTO-UHFFFAOYSA-M,CCCC(C1(CC(=C)Br)C(=O)NC(=NC1=O)[O-])C.[Na+],-3.326291059
4006,BNPWEZZZLIFSAA-UHFFFAOYSA-N,COC(=O)NC1CCCc2c(C1)c(OC)c(c(c2)OC)OC,-3.326114111
4007,IGPQBGUKWXQYCV-UHFFFAOYSA-N,CCN1CCCC(C1)OC(=O)Nc1ccc(cc1)C#N,-3.326107124
4008,AMVPMAPIOLCPIE-UHFFFAOYSA-N,COc1cccc(c1)NC(=O)CN1CCCCC1,-3.326094581
4009,URGQKRKYPFAIGP-MIIBGCIDSA-N,COc1cc(/C=C/C(=O)CCN2CCN(CC2)c2ccccn2)cc(c1OC)OC.Cl.Cl,-3.32538479
4010,LWUJMIFHFTUYOU-UHFFFAOYSA-N,CCCCCCCCNCCCNCCSP(=O)(O)O.CCCCCCCCNCCCNCCSP(=O)(O)O.O.O.O,-3.324323613
4011,FFGPTBGBLSHEPO-UHFFFAOYSA-N,NC(=O)N1c2ccccc2C=Cc2c1cccc2,-3.324197911
4012,WRVLEDLJKOSANT-UHFFFAOYSA-N,ClCCN(c1ccc(cc1)O)CCCl,-3.324115537
4013,SENPVRDOTJDJJN-UHFFFAOYSA-N,Clc1cnc(c(c1)Cl)SCCCN1CSCC1.Cl,-3.32388695
4014,SWIJYDAEGSIQPZ-UHFFFAOYSA-N,CCN(CC#CCOC(=O)C(c1ccccc1)(C1CCCCC1)O)CC.Cl,-3.323834008
4015,VUIMBZIZZFSQEE-UHFFFAOYSA-N,CC(=O)c1c[nH]c2c1cccc2,-3.323618377
4016,GQYIWUVLTXOXAJ-UHFFFAOYSA-N,ClCCN(C(=O)NC1CCCCC1)N=O,-3.322156115
4017,QEQAPQHGLVGWMO-UHFFFAOYSA-N,ICC(=O)Nc1ccc(c(c1)O)C(=O)O,-3.321908311
4018,QMGVPVSNSZLJIA-VKGYTDKUSA-N,O=C1C[C@@H]2OCC=C3[C@H]4[C@H]2[C@H]2N1c1ccccc1[C@@]12CCN([C@H]1C4)C3,-3.3199999
4019,QIBWCUCLHZVYNL-UHFFFAOYSA-N,CCn1c2ncccc2c(=O)n(c2c1cccc2)C,-3.3199999
4020,ZRCXCAQABNQEEL-UHFFFAOYSA-N,COc1ccc(cc1)C1CCN(C1=O)N1CCCCC1.Cl,-3.319325468
4021,WITMQGCBPSZFPH-UHFFFAOYSA-M,CCC(C1(CC(=C)Br)C(=O)NC(=NC1=O)[O-])C.[Na+],-3.318943132
4022,PIDSZXPFGCURGN-UHFFFAOYSA-N,CC(c1ccc(c(c1)Cl)N1CC=CC1)C(=O)O,-3.318115117
4023,FLPKLUXQXNQTEB-UHFFFAOYSA-N,CCCCCCCCCC(NCCSS(=O)(=O)O)C,-3.317365384
4024,ZGGPNDKKJIWQJU-WDZFZDKYSA-N,O=C(c1ccncc1)N/N=C(\C(=O)O)/C,-3.316366694
4025,QPMZZGUMMBFZBE-UHFFFAOYSA-N,CCC(c1ccc(cc1)OCC(CN1CCN(CC1)c1ccccc1)O)O,-3.315926988
4026,HTJGQVQAJLHQNY-UHFFFAOYSA-M,O=C1[N-]C(=O)OC1(c1ccccc1)c1ccccc1.[Na+],-3.315858346
4027,KFTODZKBBUMDQB-UHFFFAOYSA-N,FC(C(Br)(F)F)Cl,-3.315798096
4028,NAILKKRDWBJCNH-UHFFFAOYSA-N,CCCc1cccc(c1O)CCC,-3.313121418
4029,MFLUYHDIXUHWTL-UHFFFAOYSA-N,ON1CCN(CC1)C(CC12CC3CC(C2)CC(C1)C3)C.Cl.Cl,-3.312751251
4030,YJVPMWAGSODFAA-UHFFFAOYSA-N,COC(=O)c1c(C)ccc(c1OCCN(C)C)C(C)C,-3.312656405
4031,WKSAUQYGYAYLPV-UHFFFAOYSA-N,CCc1nc(N)nc(c1c1ccc(cc1)Cl)N,-3.311839431
4032,FZNPVRNXYVQHOC-UHFFFAOYSA-N,CCC(=O)c1ccc(cc1)OCC(CN1CCN(CC1)c1ccc(c(c1)OC)OC)O.Cl.Cl,-3.31105723
4033,QCZZSANNLWPGEA-UHFFFAOYSA-N,CC(=O)c1ccc(cc1)c1ccccc1,-3.310355279
4034,GWHJZXXIDMPWGX-UHFFFAOYSA-N,Cc1ccc(c(c1)C)C,-3.3099999
4035,XRHGYUZYPHTUJZ-UHFFFAOYSA-N,OC(=O)c1ccc(cc1)Cl,-3.3099999
4036,DHZVWQPHNWDCFS-UHFFFAOYSA-N,Ic1cc(I)c(c(c1)C(=O)O)O,-3.3099999
4037,ZAJNGDIORYACQU-UHFFFAOYSA-N,CCCCCCCCC(=O)C,-3.3099999
4038,HCCFPODVEOBUMM-YOQTYQRRSA-N,O=C1C[C@@H]2OCC=C3[C@H]4[C@@H]2[C@@H]2N1c1ccccc1[C@]12CCN([C@]1(C4)O)C3,-3.30931053
4039,LLQDKWNQIWGVIT-LAJPFITQSA-N,CNCC/C=C/1\C2CC3CC1CC(C2)C3.Cl,-3.307914705
4040,GKCBAIGFKIBETG-UHFFFAOYSA-N,CCCCNc1ccc(cc1)C(=O)OCCN(C)C,-3.305934924
4041,WFZSQGXGYLPWPC-UHFFFAOYSA-N,Clc1ccc(cc1)C(=O)Nc1ncccc1C,-3.305798756
4042,AFPRJLBZLPBTPZ-UHFFFAOYSA-N,O=C1C(=O)c2c3c1cccc3ccc2,-3.305578352
4043,VLQYRAJKFGZRNV-UHFFFAOYSA-N,Ic1ccc2c(c1)nc(o2)N,-3.304440426
4044,PGQAXGHQYGXVDC-UHFFFAOYSA-N,CCCCCCCCCCCCN(C)C.Cl,-3.304287217
4045,REJBTXQSIQFRRE-XZBQRBHSSA-N,O=C1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)CC[C@@H]2C1=CC(=O)OC1)C)C,-3.303960378
4046,SRIJBBUJJSYXHB-UHFFFAOYSA-N,CCC(c1ccccc1)C(=O)OCCN(CC)CC.Cl,-3.303701838
4047,GMZHWOAPIKGZAJ-UHFFFAOYSA-N,CC([NH2+]/C(=N/C(=N/c1ccc(cc1)Cl)/N)/N)C.[O-]C(=O)C,-3.303508979
4048,YLDFTMJPQJXGSS-UHFFFAOYSA-N,Oc1ccc2c(c1)ccc(c2)Br,-3.303116242
4049,WAUDIBKITGHWMS-UHFFFAOYSA-N,CCCCOCC(OC(=O)C)COCCCC,-3.301642166
4050,FRYICJTUIXEEGK-NNWVIVGYSA-N,O[C@H]1CC[C@]2([C@](C1)(O)CC[C@@H]1[C@@H]2CC[C@]2([C@]31O[C@@H]3[C@@H]([C@@H]2c1ccc(=O)oc1)O)C)C,-3.301566279
